ID,Hashtag,User,Message,Created,Lat,Long
837275957626970112,#glutenfree,Dylanboo,"I whipped up a #vegan spinach pesto and it was pretty dang tasty! Tossed with #glutenfree pasta and served with som… https://t.co/ik44Y91pvl",1488457118000,,
837275593897046017,#glutenfree,Take Two Tapas,"RT @BeamingBaker: What's your favorite candy? #vegan #glutenfree #dairyfree #dessert https://t.co/4z7bYG9Mp8 https://t.co/RjY3aDWQ1O",1488457032000,,
837275282444779520,#glutenfree,Kristy K. James,"RT @DrMacarenaLC: Tea, #glutenfree cake and great company at our Thursdays SAGES coffee break! @UniRdg_Arch @UniRdg_GES @hancloke @LisaLodw…",1488456957000,,
837275182586871808,#glutenfree,Planner Freak,"RT @leitch_margaret: Have you tried this #glutenfree Cherry Lemonade Blast https://t.co/2IVblSmxE6  #delicious",1488456934000,,
837275045168889857,#glutenfree,DSI_UK,"Register with the Dr Schar Institute for #glutenfree research & resource updates (https://t.co/6c4rlsaXM1). Retweet… https://t.co/wtkrDdrTb4",1488456901000,,
837274708739518464,#glutenfree,ActiveVoice Health,"Oral Mucosal Lesions, Chronic (Mouth Soreness) https://t.co/jAGHosbZRG #healthguide #nutrition #symptoms #glutenfree https://t.co/m4MXiwUw7x",1488456821000,,
837274704884948993,#glutenfree,ActiveVoice Health,"Page Not Found - Pink Fortitude, LLC https://t.co/ZN0NAcFeFX #organic #vegan #glutenfree #nontoxic #green #eco https://t.co/PHPOsSkqmE",1488456820000,,
837274440119500800,#glutenfree,Neon Is My Color,"The best place to find #whole30 foods online. Delivered. #BestPrices https://t.co/o2keQjmfiH @thrivemkt #keto #LCHF… https://t.co/nz0QybnaoG",1488456756000,,
837274398377783296,#glutenfree,Just Delicious,"RT @BeamingBaker: Wonderfully soft on the inside, lightly chewy on the outside. Oh YES! #vegan #glutenfree #dairyfree #cookies https://t.co…",1488456747000,,
837274067237486592,#glutenfree,Jennifer,"RT @GlutenFreeFM: GIVEAWAY ‼️RT & follow @AmorettiFoods @GlutenFreeFM 2 enter 2 win #GlutenFree peppermint #whitechocolate spread😍 #glutenf…",1488456668000,,
837273944323420164,#glutenfree,sara goodman,"RT @Purenogluten: Our #MothersDay #glutenfree  #baking #giveaway is now open to twitter users, just follow us and re-tweet the post to #win…",1488456638000,,
837273830624268288,#glutenfree,freedible,"Make breakfast fun with these dippable #glutenfree French toast bites - a kids' favorite recipe by @RebeccaGF666!… https://t.co/XbXEFvsgzG",1488456611000,,
837273667159621632,#glutenfree,Jessica Austin,"RT @Purenogluten: Our #MothersDay #glutenfree  #baking #giveaway is now open to twitter users, just follow us and re-tweet the post to #win…",1488456572000,,
837271343158681601,#glutenfree,Low Carb Maven,"Try this easy weeknight Malibu Chicken recipe https://t.co/Yb0rxpEhVo #lowcarb #keto #glutenfree https://t.co/4RBAPW4aYr",1488456018000,,
837271317992833024,#glutenfree,Tracey Black,"How to Make All-Purpose Gluten-Free Flour #glutenfree #recipes - https://t.co/0qcw3GvZS1 https://t.co/pDoar1emTu",1488456012000,,
837271284534902784,#glutenfree,Sourced Market,"A little #TBT to Jessica Duke’s post #LFW #glutenfree pick-me-up! https://t.co/od3Hi47c6D",1488456004000,,
837271206483001344,#glutenfree,BourbonStreetBrawler,"RT @two_brew: Fantasma - #glutenfree beer, and Make Apple Pie Great Again -  a Cloudwater and Against the Grain collaboration #newbeersday…",1488455986000,,
837271203962322944,#glutenfree,Crafty Beer Tweets,"RT @9whitedeer: A big day today for us,Official launch of #StagSaor range #glutenfree beers. Dublin Today @obriensbeacon and tomorrow in Co…",1488455985000,,
837271150300434432,#glutenfree,Amanda Kanashiro,"RT @GoDairyFree: Cheesy #DairyFree Quinoa Bites! Healthy, Versatile, Delish #PlantBased #GlutenFree #Recipe -> https://t.co/fzvqkmMeCi @Bob…",1488455972000,,
837271103043211264,#glutenfree,Demeter,"RT @Accidentally_C: Easy. Healthy. Yummy. Need I say more? This quinoa #pizza crust is an all round winner! #vegan #glutenfree https://t.co…",1488455961000,,
837271038044045312,#glutenfree,ChummyMummies,"RT @texanerin: Mini Irish cream cheesecakes with a homemade chocolate cookie crust! #Glutenfree and #wholewheat options. https://t.co/wg6PF…",1488455945000,,
837270610648711169,#glutenfree,nakeddeli,"Fresh batch of banana & almond mini loafs 👌 clean paleo & vegan #glutenfree #dairyfree #refindsugarfree… https://t.co/jaxjLDhwcz",1488455843000,,
837270543485321216,#glutenfree,lorene d,"RT @GlutenFreeFM: GIVEAWAY ‼️RT & follow @AmorettiFoods @GlutenFreeFM 2 enter 2 win #GlutenFree peppermint #whitechocolate spread😍 FIFTY wi…",1488455827000,,
837270538842226688,#glutenfree,Jive Hackey,"RT @St_SugarLondon: Majestically gooey! The Skinny Chocolate slab is back. #sugarfree #glutenfree #paleo lowcarb & healthy fats. #hackney #…",1488455826000,,
837270525873385472,#glutenfree,lorene d,"RT @GlutenFreeFM: I had such a delicious lunch with @forkfeed yesterday at @FratelliCafe ‼️ See what's #GlutenFree on https://t.co/sqQVfq5r…",1488455823000,,
837270506025992192,#glutenfree,lorene d,"RT @GlutenFreeFM: GIVEAWAY ‼️RT & follow @AmorettiFoods @GlutenFreeFM 2 enter 2 win #GlutenFree peppermint #whitechocolate spread😍 FIFTY wi…",1488455819000,,
837270345560297472,#glutenfree,Two Brews,"Fantasma - #glutenfree beer, and Make Apple Pie Great Again -  a Cloudwater and Against the Grain collaboration… https://t.co/UW1ytnqoPf",1488455780000,,
837270250471190533,#glutenfree,Clive Brazier,"RT @theblackfarmer: Loving the look of this offer!  At #Sainsburys until 14 March!  #theblackfarmer #glutenfree #premiumpork #sausages http…",1488455758000,,
837270077611335680,#glutenfree,🌸Kimberley Jayne 🌸,"@Purenogluten Our #MothersDay #glutenfree  #baking #giveaway is now open to twitter users, follow us and re-tweet the post to #win #Goodluck",1488455716000,,
837269992458629120,#glutenfree,🌸Kimberley Jayne 🌸,"RT @Purenogluten: Our #MothersDay #glutenfree  #baking #giveaway is now open to twitter users, just follow us and re-tweet the post to #win…",1488455696000,,
837269513754316800,#glutenfree,Purple Nanny Eco,"Coming soon to Purple Nanny @goodfullstop #vegan #glutenfree https://t.co/ZP77DkaYnc",1488455582000,,
837269405155328001,#glutenfree,Skin Elixir,"Thanks Crissy for my #glutenfree #vegan plowman's #sandwich #workinglunch #nottingham @lad… https://t.co/62LCxxfIKf https://t.co/gRey3x3N00",1488455556000,,
837269339225133058,#glutenfree,Metro Detroit Mommy,"RT @KimsCravings: Soft Baked Oat Snack Bars- the softest, tastiest baked snack bars ever! #vegan #glutenfree #NaturallyInspired #ad https:/…",1488455540000,,
837269219356065793,#glutenfree,Sweet Tooth Vegan ✈,"RT @GoDairyFree: RT @foodfaithfit "5 Dessert Inspired #Vegan Breakfast Toasts @naturallymorenb #glutenfree https://t.co/8rvTSZ9Eeu" https:/…",1488455512000,,
837269011561918465,#glutenfree,Nutrii Now,"Going #glutenfree might increase risk of #arsenic, study finds - via @chicagotribune https://t.co/3WnRrp48zj https://t.co/e9Z3AmkoZa",1488455462000,,
837268997741621248,#glutenfree,Holly Bertone, CNHP,"Shop #organic #vegan #glutenfree #nontoxic #green #eco products! https://t.co/5lET4dQtCg https://t.co/GfU7LWjCGZ",1488455459000,,
837268992314179584,#glutenfree,Gluten Free Works!,"Oral Mucosal Lesions, Chronic (Mouth Soreness) https://t.co/Ksz1q2Ecmy #healthguide #nutrition #symptoms #glutenfree",1488455458000,,
837268895396421632,#glutenfree,nakeddeli,"Fresh batch of banana & almond mini loafs 👌 clean paleo & vegan #glutenfree #dairyfree… https://t.co/JluJsfLwjX",1488455435000,,
837268805864816642,#glutenfree,1847 Vegetarian,"LUNCH offer @By1847 £10 ANY Main + Drink !! #Manchester #veggie #healthy #food #vegetarian #vegan and #glutenfree https://t.co/OlpKRIUW2s",1488455413000,,
837268804124147712,#glutenfree,1847 Manchester,"LUNCH offer @By1847 £10 ANY Main + Drink !! #Manchester #veggie #healthy #food #vegetarian #vegan and #glutenfree https://t.co/TZMV4pW76h",1488455413000,,
837268545130086400,#glutenfree,O'Briens Blackrock,"RT @9whitedeer: A big day today for us,Official launch of #StagSaor range #glutenfree beers. Dublin Today @obriensbeacon and tomorrow in Co…",1488455351000,,
837268496786522116,#glutenfree,marcus,"RT @Purenogluten: Our #MothersDay #glutenfree  #baking #giveaway is now open to twitter users, just follow us and re-tweet the post to #win…",1488455339000,,
837268366742204418,#glutenfree,Macarena L Cardenas,"Tea, #glutenfree cake and great company at our Thursdays SAGES coffee break! @UniRdg_Arch @UniRdg_GES @hancloke… https://t.co/nvPCDma5fG",1488455308000,,
837277736490000385,#stpatricksday,Schooners41,"RT @OnlyInBOS: CONTEST! RT+Follow @OnlyInBOS to enter to win 2 tickets to @HarpoonBrewery's #StPatricksDay Festival! DM winner 9pm: https:/…",1488457542000,,
837277721164201985,#stpatricksday,Lexie Michaels,"RT @OnlyInBOS: CONTEST! RT+Follow @OnlyInBOS to enter to win 2 tickets to @HarpoonBrewery's #StPatricksDay Festival! DM winner 9pm: https:/…",1488457539000,,
837277549478621186,#stpatricksday,Kristy,"RT @goodbuysalltime: Tradition states Green Must be Worn on #StPatricksDay
Take a look at these Adorable Outfits for Baby Boys & Girls 
htt…",1488457498000,,
837277486127988737,#stpatricksday,Boston Subcity News,"RT @OnlyInBOS: CONTEST! RT+Follow @OnlyInBOS to enter to win 2 tickets to @HarpoonBrewery's #StPatricksDay Festival! DM winner 9pm: https:/…",1488457483000,,
837277422135427073,#stpatricksday,Jackie[z] Gonzalez,"RT @OnlyInBOS: CONTEST! RT+Follow @OnlyInBOS to enter to win 2 tickets to @HarpoonBrewery's #StPatricksDay Festival! DM winner 9pm: https:/…",1488457467000,,
837277398815113216,#stpatricksday,Brrr-ianne ❄️,"RT @OnlyInBOS: CONTEST! RT+Follow @OnlyInBOS to enter to win 2 tickets to @HarpoonBrewery's #StPatricksDay Festival! DM winner 9pm: https:/…",1488457462000,,
837277372961308672,#stpatricksday,Kristy,"RT @thatbaldchick: Check it out! 17 Kid Approved #StPatricksDay  Treats https://t.co/biMFSj6wff via @thatbaldchick #StPatricks #kids",1488457456000,,
837277916710989824,#kids,Patsy Gillispie,"In celebration of #ReadAcrossAmericaDay this was my fav book growing up James & the Giant Peach by @roald_dahl. Gre… https://t.co/T4OLMP4Fq3",1488457585000,,
837277916434214913,#kids,CyberDayze:,"RT @touchscreented: Book 3 of 12 - Well set up,well paced,keeps moving from start to finish 
https://t.co/ryR0FnHbWk  #t4us #ASMSG #kids #d…",1488457585000,,
837277911530917890,#kids,Social Rugrats SEA,"#kids Atavus Rugby TOMORROW  @Atavus_ @cityofissaquah https://t.co/IguOnFLGRu https://t.co/lynsufvl50",1488457584000,,
837277909064663041,#kids,Chindrella albert,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488457584000,,
837277873404727297,#kids,💚شموخ نجد💚,"#Children of war: Iran-backed Houthis recruit #kids as young as 6 in battle for Yemen  #Iran… https://t.co/S2TVPzREIY",1488457575000,,
837277851107880961,#kids,Kelly,"The 39 Clues, Book One: The Maze of Bones (Unabridged Fiction) -... #Kids&YoungAdults https://t.co/K2yRFo73Hf #kidsyoungadults",1488457570000,,
837277838474629121,#kids,Angelica Kate,"RT @touchscreented: Book 3 of 12 - Well set up,well paced,keeps moving from start to finish 
https://t.co/ryR0FnHbWk  #t4us #ASMSG #kids #d…",1488457567000,,
837277709856301058,#kids,@zaraholmesdrama,"Had such a lovely morning doing a storytelling workshop in a local school... #WorldBookDay #Drama #Literature… https://t.co/88rg8HjTje",1488457536000,,
837277700955992064,#kids,ERICA DIAMOND,"The latest The Women On The Fence Daily! https://t.co/mUpnjmdSoR Thanks to @MarriageAll #kids #women",1488457534000,,
837277669230174208,#kids,emilie peearce,"RT @thekydstv: Bike | Scary Incy Wincy Spider | Scary Videos For #Children | Motor Bikes For #Kids
https://t.co/xUVoropIxj
#kidschannel #sc…",1488457526000,,
837277606168965122,#kids,Paradise Praises,"Free #Spanish #video for #kids: 31 Days of Homeschool Spanish series #homeschool https://t.co/SABRjyaOQv",1488457511000,,
837277433468448769,#kids,Creative Cottage CIC,"RT @power_medics: Get the #kids #skilledup ready for summer. #playsafe Sign up to our next course. @ Castle Vale Leisure Centre. #Birmingha…",1488457470000,,
837277382834782209,#kids,doc 4  n from heart,"RT @God_BlessIndia: #VaticanMafia 's real face #exposed ! The way it abused #Kids & #INDIA till date! https://t.co/LynaquOG7j",1488457458000,,
837277372961308672,#kids,Kristy,"RT @thatbaldchick: Check it out! 17 Kid Approved #StPatricksDay  Treats https://t.co/biMFSj6wff via @thatbaldchick #StPatricks #kids",1488457456000,,
837277215071010817,#kids,Tonya therapyfunzone,"The latest The Therapy Fun Zone Daily! https://t.co/Zrjl6IE99S Thanks to @growhandsonkids #autism #kids",1488457418000,,
837277209102528512,#kids,Power Medics,"Get the #kids #skilledup ready for summer. #playsafe Sign up to our next course. @ Castle Vale Leisure Centre.… https://t.co/LUATPz123q",1488457417000,,
837277150973681664,#kids,batman,"RT @ApoloOhno: The young prince. Master of all gaming. Try and test me! #gamer #bossman #young #kids #godson #cute https://t.co/s0eQ7LSA3g",1488457403000,,
837277042504716288,#kids,Lorettia Peters,"#Nice #Toys #Marvel Legends Series 12-inch #CaptainAmerica https://t.co/0DAG3xNyPB #Kids #Toy https://t.co/SxN1PA1gB1",1488457377000,,
837277034799734784,#kids,Lorettia Peters,"#Kids #Toys: #StarWars black series Scarif Stormtrooper Squad Leader action #Figure moc #28 https://t.co/hLt8CdNBu2… https://t.co/2SHsfrhHH7",1488457375000,,
837277028759961600,#kids,Lorettia Peters,"#Top #Toys Custom #Marvel Universe Legends #IronMan Mark 42 Unmasked Tony Stark https://t.co/9nhbXQPZqu #Kids #Toy https://t.co/FmXX0nITvV",1488457374000,,
837277018660171777,#kids,My Busy Kids,"Fun Play Sago Mini Kids Games  Play Activities Game & Explore Ocean with Sago Mini Ocean Swimmer https://t.co/xztedH5qUX #kids",1488457371000,,
837276906387013632,#kids,The Analytical Mommy,"Amazing Kid-Friendly Breakfast Hack https://t.co/xHfUqxEqFL #kids #parentingtiphack #productreview #parenting #momlife #momblog",1488457344000,,
837276880164139008,#kids,emilie peearce,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488457338000,,
837276864464855042,#kids,Ali_Store,"US $1.26 (20% OFF) from #AliExpress  #Kids Fox Socks Leg Warmers children Knee High f... https://t.co/HD5R0OQJoR https://t.co/HRdBaUMoT7",1488457334000,,
837276846769205248,#kids,Sam Kemp-Jackson,"Great expectations...of #birthday parties--> https://t.co/fls4kKSQxO #kids #entitlement   #parenting #kids https://t.co/mBpWrKXQSe",1488457330000,,
837276662160994304,#kids,micheal kores,"RT @thekydstv: Bike | Scary Incy Wincy Spider | Scary Videos For #Children | Motor Bikes For #Kids
https://t.co/xUVoropIxj
#kidschannel #sc…",1488457286000,,
837276574173048832,#kids,Naturepedic,"RT @Recipes2Nourish: #ad How to Make Your #Kids #Sleep Environment Safer @Naturepedic - Recipes to Nourish #nontoxic #sleeptips https://t.c…",1488457265000,,
837276494078619648,#kids,GummyLump.com,"The latest Kids Crafts & Activities! https://t.co/PQFOhFlcE8 Thanks to @grownupsmag @tintami @davejroy #kids #parenting",1488457246000,,
837276410309931008,#kids,FARA Charity Shops,"Happy #woldbookday from #Fara but also #kermit & co 😀 (as seen at #southfields #kids) https://t.co/b5VneRMpV5",1488457226000,,
837276275010125824,#kids,Em Ma,"I entered to #win a @SummerInfant Modern Gate for my #babies #kids @dentistmel #giveaway https://t.co/QkR1hsTK9C",1488457194000,,
837276273390964737,#kids,Kids Toys Stores,"#Kids #Toys #Elsa #Frozen Toddler #Disney #Doll Replacement Shoes Cute Lot! https://t.co/l7sRLLNQ1w #Toy #Kid https://t.co/Kx7lCZYrpd",1488457194000,,
837276263832252417,#kids,micheal kores,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488457191000,,
837276163705810944,#kids,Baby Formula,"Visit us: https://t.co/N54kQ0GhAC

#baby #babycare #kidscare #kids #kid #body #vitamins #skincare # ... https://t.co/ELxYRWolmN",1488457167000,,
837276054720897024,#kids,Jackie Sparks,"RT @erin_simplicity: This Cherry Oatmeal Streusel bars are really so good!!
https://t.co/X2r6ZJeQ39
#recipe #healthy #kids https://t.co/b7Z…",1488457141000,,
837275995375718402,#kids,andrew simmons,"RT @thekydstv: Bike | Scary Incy Wincy Spider | Scary Videos For #Children | Motor Bikes For #Kids
https://t.co/xUVoropIxj
#kidschannel #sc…",1488457127000,,
837275824613126144,#kids,Grateful*INDIANæKid*,"#VaticanMafia 's real face #exposed ! The way it abused #Kids & #INDIA till date! https://t.co/LynaquOG7j",1488457087000,,
837275824193736704,#kids,Diana Mai,"RT @SchoolLeadNow: “Book Deserts” Are Real. Here’s What #Schools Are Doing to Help #Kids Who Live in Them. https://t.co/RjpRGOJ4T2 via @WeA…",1488457086000,,
837275717146640384,#kids,Afraid of the Dark,"Defeat Fear of the Dark at bed time with your own personal Force Field  #kids #parenting #KickStarter https://t.co/2MUfaVmCJi",1488457061000,,
837275514322694147,#kids,ajsweetsoap,"Have a fruity day - Fruit Loop Cereal Soap https://t.co/8U095Tcpym via @Etsy #breakfast #cereal #morning #kids @KelloggsUS @KelloggCompany",1488457013000,,
837275456193851392,#kids,Legally Kidnapped,"CPS Overworked? Local Caseworkers Handling Way More Than Recommended Amount https://t.co/C0XBWCZOpA #LegallyKidnapped #kids #cps",1488456999000,,
837275435595608064,#kids,MomsFanClub,"Whats New #kids #mom Ohio father overdoses in car with infant, while mother overdoses at home with kids - ABC N... https://t.co/mvbMPTC2cX",1488456994000,,
837275391777648640,#kids,Social Rugrats SEA,"#kids Underwater Adventure Family Fun Night TOMORROW  @cityofissaquah https://t.co/0zhQwRW0mh https://t.co/6YXfuTfhAL",1488456983000,,
837275369342279680,#kids,andrew simmons,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488456978000,,
837275309451931649,#kids,Radio Nursery,"#NowPlaying LIVE on https://t.co/K0tlnKovtx - Fairy Penguin by ABC for Kids #mommy #kids #children #music #radio https://t.co/WKS1CdpSpT",1488456964000,,
837275235963424769,#kids,christopher nolan,"RT @thekydstv: Bike | Scary Incy Wincy Spider | Scary Videos For #Children | Motor Bikes For #Kids
https://t.co/xUVoropIxj
#kidschannel #sc…",1488456946000,,
837275216262881285,#kids,Mummy fail,"Baby is a beautiful weirdo. Would rather each a plain dry cracker than chocolate?! Oooookkkaaaaaaaaayy 😞 #kids",1488456942000,,
837275204388782080,#kids,Kids Wear Play House,"These #chalkboards are great to brighten up #kids #room & write messages to each other https://t.co/XKexuebFqU https://t.co/PcUXEkz3Q6",1488456939000,,
837275188727185410,#kids,Kids Toys Stores,"#Best #Toy #Transformers Movie AOE Toys Deluxe Voyager Class Optimus Prime And Galvatron https://t.co/u1xVnM2hl4… https://t.co/0BESACqKjo",1488456935000,,
837275175909388289,#kids,Kids Toys Stores,"#Kids #Toys Marvel 5" Toy Biz Lot of 23 Action #Figures- #Spiderman Venom Iron Man Carnage https://t.co/aRvQQlkrtD… https://t.co/g4GCVZ0wy0",1488456932000,,
837275148117946369,#kids,christopher nolan,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488456925000,,
837275138198548480,#kids,Kids Wear Play House,"These #chalkboards are great to brighten up #kids #room & write messages to each other https://t.co/gZ6UhyTICA",1488456923000,,
837275132494295041,#kids,jalex,"RT @KathrynStarke: @Forbes we have the most valuable #NFL teams ready to #TackleReading across America Thurs for #kids! https://t.co/eGtKA2…",1488456922000,,
837275094783229952,#kids,love Allah ❤️,"The #Quran #Kids | Short Film | Inspirational https://t.co/9fjKrCiSRd #USA #NEW #Tone #love #UK #Brasil #koria #Germany #Italy #Japan #Rt",1488456913000,,
837275094309289985,#kids,Wendy Young,LMSW,BCD,"The #parenting book that changes #parents along w #kids. #BLOOMparenting changes everything https://t.co/l0BG1I3yLY https://t.co/7unSfplYOJ",1488456912000,,
837275078333181954,#kids,BEST AMAZON DEAL 📦,"March 02, 2017 at 07:15AM #Trending #Now 🚨 https://t.co/3M7DAi4I56 🚨 #Amazon #Headphones #kids #Sale #Ad #Deals #Toys #Apple #Sale #🔥",1488456909000,,
837275070556864513,#kids,Spiderman Figures,"#Kids #Toys QMx Marvel Comics #Spiderman Spider Cam Q-Fig #Figure Diorama Statue In Stock https://t.co/ylBrqytX60… https://t.co/w7HdUfkMnx",1488456907000,,
837274998817636352,#kids,Jamieb Clarke,"RT @mmdevoe: Today the @PenParentis Writing Fellowship for New Parents opened for entries. See https://t.co/Ik7FgafMp8 #kids #Writers #rt #…",1488456890000,,
837274977049071617,#kids,Claire Underwood,"RT @thekydstv: Bike | Scary Incy Wincy Spider | Scary Videos For #Children | Motor Bikes For #Kids
https://t.co/xUVoropIxj
#kidschannel #sc…",1488456885000,,
837274920212025344,#kids,Claire Underwood,"RT @kidstvofficial: Baby Bao Panda | #Planets Song | #Nurseryrhymes | #Kids Rhymes | #Children's Song 
https://t.co/hR8J7OoNci
#kidstvsongs…",1488456871000,,
837274830055571456,#kids,VIP Mums,"RT @alphabakeHO: Got any fussy eaters? Some ideas here on how to deal with them at mealtimes. #recipes #kids 
https://t.co/uYZsIetapH https…",1488456849000,,
837274807632814080,#kids,BookJane,"Having fun BookJane On Demand Care @bookajne1 #fun #kids #childcare https://t.co/0amgaImeZZ",1488456844000,,
837274624043909120,#kids,Qaziinc,"30 minute colors compilation video for toddlers. #ECE #Parenting #Learning #Kids https://t.co/ADRVoWNZgV",1488456800000,,
837274596743114752,#kids,Lorettia Peters,"#Love #Toy: 5pcs #Kids Baby Roll Drum Musical Instruments Band Kit Children #Toys Gift Set USPS… https://t.co/GmZuTBkPwz",1488456794000,,
